[[6, 9, 13], [1, 2], [4, 8], [3], [3], [12], [7, 11], [14], [10, 15], [5]] True
[[4, 5], [1, 3, 6], [1], [11, 12, 13], [7, 8, 9], [2], [10, 15], [14]] True
[[7], [10], [6, 9, 13], [8], [11, 12], [1, 2, 4], [14], [3, 5], [15]] False
[[5], [15], [11], [8], [6, 9, 13], [1, 2], [7], [10, 14], [3], [4], [12]] False
[[4, 8], [1, 3, 6], [14, 15], [2], [12], [11], [9, 13], [10], [5], [7]] True
[[7], [15], [6, 9, 13], [8], [1, 3], [4], [2, 5], [12], [10, 14], [11]] False
[[5], [1], [13], [4], [9, 10], [14], [15], [3], [11, 12], [7], [6], [2], [8]] False
[[2, 3], [4, 5, 6], [10, 14], [7, 11], [8, 13], [1], [9], [12], [15]] False
[[6], [8, 9], [7, 11], [1, 2], [10, 14], [13], [3, 5], [15], [4], [12]] False
[[6], [3], [10, 14], [7, 8], [5, 9], [1], [15], [11], [2], [12, 13], [4]] False
[[4], [9], [3], [13], [1, 2], [5, 6], [15], [8, 12], [14], [7, 11], [10]] True
